"","x"
"1416","I worked at Bloomberg for a 3 month summer internship. They have lots of events for interns, which keeps it interesting. The other interns were really cool people who were great to hang out with."
"1417","Good working environment, great open office space with lack of visible hierarchy. Friendly and well qualified staff, good benefits in terms of breakfast and pantry."
"1418","Bloomberg pays well and expects all employees to work hard everyday. No excuses. it's a great place for motivated people"
"1419","free food, awesome team members and not very busy. Also, you can learn a lot by the 4 month training program. It's a really nice firm."
"1420","Lots of training, great young energy"
"1421","- Great work atmosphere/work environment
- Benefits (medical, dental etc...) 
- Bloomberg pantry (free coffee, breakfasts, lunches, snacks) 
- Emphasis on philanthropy"
"1422","Well-paid, great colleagues, good benefits"
"1423","Hard work is rewarded well."
"1424","You determine your career path as long as you are working hard and bringing in new business"
"1425","Fun people
Lively atmosphere
The building is great and the pantry ROCKS
Benefits and perks are wonderful"
"1426","The people are very smart. It is a company with a lot of benefits.
You can receive a lot trainings over there."
"1427","Exposure to various financial markets and training tools enables you to pick your path."
"1428","Great networking and atmosphere you make too many friends"
"1429","Free Lunch, get to work with the terminal"
"1430","good benefits, good work like balance"
"1431","Bloomberg pays the highest salaries in the news reporting business, its hires are all highly competent and opportunities with the company are truly international. It is arguably the most prestigious news agency in the world."
"1432","Growing company, room for professional growth"
"1433","Best salaries in news business"
"1434","working in Skillman, NJ  has been great.!Yes being a contract worker means you are assigned tedious work but at the same time you will find that almost anywhere starting out as an entry level employee. Aside from the tedious work, you get to listen to music and have access to amazing software so be great-full. Furthermore, you get free breakfast and lunch with free drinks and all day snack access soooo can't get... much better than that"
"1435","You can be connected everywhere- you won't miss a thing. The technology is very advanced."
"1436","Good work-life balance, pretty steady job, good colleagues"
"1437","The turn around cycle for any idea is days. We follow agile methods and clients get to see what they want within weeks of requesting a feature"
"1438","-Innovative; an original fin-tech company before it was an official category
-Benefits; education reimbursements (historically) generous and healthcare coverage outstanding
-Meritocracy; over the long haul, talented individuals will be rewarded for performance
-Work/Life balance is very favorable"
"1439","Nice building/ food/ open environment"
"1440","* Very open environment
* Great compensation and benefits
* Opportunity to work with a bunch of talented people
* Growing open source presence
* Free snacks 
* In the heart of NYC"
"1441","Flexible work hours if your manager allows it
Great 401k match, excellent health insurance, amount of vacation days
High Pay & ability to rise"
"1442","you're not a number but a real added value to the company"
"1443","I've worked at small and large companies before but the way Bloomberg operates is very unique. Just about everything can be accomplished through the terminal. The on boarding process is very well thought out and executed. I was up and running in no time."
"1444","The environment and the work was very interesting for an intern. The location (N.Y.) was a plus factor for this internship."
"1445","very dynamic place and great teamwork"
"1446","Life at Bloomberg is fast paced and demanding with high expectations placed upon you from day one. However, the company makes sure that you are rewarded well from a financial and intellectual point of view. If you put the work in you, develop innovative ideas and push the boundaries of your role there are few limits to what you can achieve.

Some people find Bloomberg overbearing with a high level of... micromanagement and I can understand that. Looking beyond this is important. You have fantastic job security excellent benefits and great earning potential. Finally, managers really care about their employees a true reflection of the company itself."
"1447","Good company to work, the salary was good for me."
"1448","great management, great work/life balance, great perks (free food/drinks/etc.), great benefits"
"1449","Great company, culture, exposure. Great client base and perks"
"1450","Bloomberg pays the highest salaries in the news reporting business, its hires are all highly competent and opportunities with the company are truly international. It is arguably the most prestigious news agency in the world."
"1451","Good food, good work culture"
"1452","You will be working with very smart people, no time wasters."
"1453","Great benefits as others have mentioned already. Full medical coverage without any deductions from your paycheck. They have onsite medical facilities where you can walk in anytime during the week and there are no co-pays, wait times etc. The onsite doctors can do most of the basic tests like blood draws and send it to a lab. This saves employees time and money. They also have registered dietitians/wellness coaches... onsite, who you can work with to reach your personal fitness goals.
You get to  like work with really smart people across the globe. In my specific department we work lot on the operations/infrastructure side so we use very little c/c++. Most of our code base is in Python,Shell or Perl. The pay is comparable to other tech companies in the Bay Area."
"1454","Driven people; Food; Office Space"
"1455","Fun and challenging. Well structured program. People are smart."
"1456","Great working environment with great people. Clean office with a nice view of the city."
"1457","very professional and international environment
clear career path
investment on the individual
great benefits
different department and international locations to move across
competitive salary"
"1458","Its the biggest news organization out there. Lots of brand recognition among companies. Good pay, and opportunity to work with some very competent people."
"1459","They have awesome benefits, an in house clinic, free food, amazing healthcare, and much more! Each year they through a great summer party and really encourage employees to continue learning and have many available trainings for them."
"1460","Decent bonus/incentives. Great location in NY, and fabulous office"
"1461","great people, interesting projects, good career path flexibility, nice office, amazing benefits, excellent training and personal growth opportunities"
"1462","Flat hierarchy, ability to work outside of your job description, engaged culture of employees,  you make what you want of your opportunity there, open communication, fast paced and dynamic, collaborative teams, working closely with the business, HR not just seen as paper pusher, innovative businesses who are looking to change and grow, new ideas are encouraged

If you know the right people, you can make moves... easily within the organization. There are a lot of smaller perks like the pantries, discounts, Wellness initiatives, waived premium for health care and consistent bonus payouts for performance

Work hard, get responsibility quickly, and learn a lot"
"1463","Has always been a meritocracy. You do a good job you get rewarded. You do a great job and you will be greatly rewarded."
"1464","friendly culture. fast moving development cycle. bright and cheerful office."
"1465","free lunch, drinks and snacks"
"1466","Accessible company, excellent internal support with resources readily available. Strong existing customer base and exceptional reputation in the market. Very accommodating work environment with friendly atmosphere."
"1467","Pays well, good benefits, lots of perks - free museums, free food, etc."
"1468","- Lots of energy
- Young and bright environment
- Nice offices, great company name"
"1469","Great benefits, Physicians assistant (nurse) on site, Free food, snacks, Etc. They team leaders encourage you to learn and further your career by providing in house classes."
"1470","Good food, good work culture"
"1471","Good pay, good work atmosphere, nice people"
"1472","Good benefits
Smart people
Summer picnic
Some teams are very good ie mobile and machine leaning
Bloomberg encourage to do self learning and have a lot of courses available
Charity work
In general everything"
"1473","I met very good friends, nice people"
"1474","Entrepreneurial. Good benefits. Philanthropy program."
"1475","can be lot of pressure, but also have balance and allows work from home occasionally.  good benefits, get to use terminal"
"1476","An exciting place to work, with a very talented team and a lot of opportunity. Also a very socially conscious company."
"1477","Nice pantry, fully stocked up"
"1478","(This review is for R&D)
Very good team placement. Recruiters/HR work well to ensure new hires get the teams they desire. Quality of work is good. Very good training sessions and talks by leading experts in C++ etc (read Bjarne Stroustrup, Alex Stepanov etc ) . Encouraged to take part in volunteer activities. Very good training program for university grads. Very good benefits, 100% employer paid health insurance,... 401k matching. Teams have started participating in conferences and engaging with the tech community in general."
"1479","The idea we worked for was the main motivator. As they say, get a good project and the rest is irrelevant. The company started off with a great idea to revolutionize the intern and entry-level job market. By connecting employers and students through a test platform it was possible for students to show off their skills and get an interesting job. Moreover, it aimed to level the playing field for students from less... known campuses around the world."
"1480","With hard work the possibilities of upward mobility are essentially endless - depts exist in just about every corner of every industry for employees to find their niche."
"1481","Pay is higher than almost any other broadcast co. Great workplace if you don't mind lack of privacy."
"1482","Free Bloomberg market concepts certification was definitely a pro since otherwise you have to pay for it. More exposure to Bloomberg was also nice."
"1483","Great benefit, good company in general"
"1484","Huge variety of snacks and drinks in the pantry. Free dinner and soup. Great location. Amazing building. Great work culture with smart people (mostly)."
"1485","snacks, health care, stability. 
office building looks nice.  bloomberg brand name is well known."
"1486","open transparent culture, fully supported for training, passion for customer service and doing the best for clients"
"1487","great culture, work/life balance and environment"
"1488","Great people, great benefits, good place to hone your skills and focus on your career. There are many opportunities to advance and you can really make this organization a home."
"1489","Great place to work if its one of your first jobs out of college, don't have a family, kids or other interests."
"1490","Good pay, good work atmosphere, nice people"
"1491","Good benefits, very smart peers and a huge global platform. Additionally, it still retains a strong reputation which has allowed many journalists to move onto other high profile jobs in journalism (which is no small thing these days). They hire people at good salaries."
"1492","Great pantry. Good work life balance. Colleagues are very nice."
"1493","Working with extremely intelligent, kind, and dedicated people.
Learning opportunities never cease in either financial or technical domains.
Salary and benefits are unbelievable.
The name is well-respected in the financial world.
Very tolerant and patient with new developers.
Offices throughout the world can make travel a lot of fun."
"1494","have a chance to code financial application/big company/opportunity to learn"
"1495","Really supportive, great resources, opportunities to move roles and learn"
"1496","Highly efficient, good process. Very good benefits. Best in class health insurance."
"1497","Reasonable management
Decent pay and benefit
Good work life balance"
"1498","Innovative, young company. Good salary. Nice, smart people. Easy to move around company to different teams."
"1499","Flat working environment in a very nice office in the financial district. International people and tasks. Free snacks/food/drinks from the pantry."
"1500","@ Great Snacks and Pantry
@ Learned English GCUS prepped me to become fluent in English and other languages, they will support you. 
@ Career Development. Focus on developing skills within Bloomberg. Mentors or Team leaders are there for your development 
@ Nice people in the office. 
@ Work Life balance is good."
"1501","Very friendly culture and flat environment, everyone is happy to help you"
"1502","Good work life balance.  Friendly environment"
"1503","benefits, hours.  not too much else."
"1504","The company has a hire bar of compensation comparable to top tier high tech companies."
"1505","""some"" of the people are cool."
"1506","Reputation, international culture, environment, philanthropist"
"1507","Great environment, good perks and benefits"
"1508","Bloomberg has amazing benefits and a lot of top notch l people work there. The company is very efficient for the most part with robust investment in technology and incredibly smart developers. Once really gets the impression things get done here. In certain departments, you really feel like you're making a difference and things are actually meritocratic. Journalists among the best in the world. The company pays... better than industry standard and treats its employees well. Mike Bloomberg is amazing both as an entrepreneur and for what he has done with philanthropy. Even after leaving I still hold tremendous respect for the firm as a whole."
"1509","Lots of chance to travel and learn. Very smart co-workers."
"1510","Good benefits, very smart peers and a huge global platform. Additionally, it still retains a strong reputation which has allowed many journalists to move onto other high profile jobs in journalism (which is no small thing these days). They hire people at good salaries."
"1511","Collaborative Work Place. Free Food."
"1512","Great company with many great and smart people. Exposure to an amazing environment."
"1513","Yes you learn a lot, and get to go one some decent meetings.  Yes you can have a comfortable career in sales.  And yes, one of the perks is the pantry

3-4 years at Bloomberg now, very competitive salary, not far off doubled what I started on.  International movement."
"1514","Free food, volunteer opportunities, company matching for some philanthropic donations"
"1515","The pantry is a nice perk, and the set hours, not required to work weekends or too much overtime. Depends on the office you work out of"
"1516","Free snacks, good office design"
"1517","A fast paced environment, where R&D works closely with product managers as a partner."
"1518","Exceptional offices, perks, and working environment.  There are some amazing people in various parts of the organization.  Pay is great... if you negotiate on your way in.  If they really want you, they will literally pay whatever you ask."
"1519","Bloomberg is a very fast-paced company, the only constant at Bloomberg is change. We value innovation, we enourage people to step out of their comfort zone, take calculated risk, so long as you have the key stakeholders on board, it can be done right away - benefits of being a privately owned company!  I worked at a couple of banks before joining Bloomberg, I've moved on to do different roles at Bloomberg within the... last 6 years, I'm still learning everyday! Everyone is given opportunity to shine, it's up to the individual to take it or leave it.  This company truly values people, especially top performers, there is clear distinction in compensation between top and average performers for the same role. Now is a great time to be with a well-established Fin-Tech company!"
"1520","Great benefits. Excellent salaries for software developers.
Autonomy/self direction are encouraged."
"1521","- High energy, fast-paced and dynamic culture
- Great office and perks
- Lots of opportunities for hard-working, smart people"
"1522","There a a lot of bright and great people in the company. Opportunities to learn and develop exist as well"
"1523","one of the most sophisticated set of products in the industry 
you will be working along with very clever people 
if you can learn and sell all Bloomberg platforms, you will be able to work anywhere and sell anything"
"1524","Spacious space with very sophisticated decoration. Office is colorful, bright and delightful, which makes everyone at peace. Everyone is open to communication."
"1525","Provides an enabling environment to learn about the financial markets. Provides the necessary to tools to upgrade your skills in Finance"
"1526","Benefits, benefits, benefits . . . and snacks . . . and awesome physical facilities"
"1527","Global Company.  Good office outlook.  Health Benefit.  Finishes on time."
"1528","A very honest environment to work in"
"1529","If you like finance, this is really a good place to go"
"1530","Free food, resonable work/life balance, decent benefits and healthcare plan."
"1531","good company, all hands on deck philosophy, Bloomberg culture and values, philanthropy. Efficient management, very successful company."
"1532","My pros fall into four key areas: the people, the space, the exposure to senior management, and the balance. 

The people: My co-workers are a great bunch of people, many of whom have become my close friends. It's a supportive environment that encourages collaboration -- and I know I can lean on my team when I need them. Plus, my colleagues are super smart and they make me laugh. Overall, Bloomberg employees are... very hard-working, and I respect that kind of work ethic.

The space: 731 Lex knocks it out of the park. There's no other office building in NYC like it! The building is always buzzing with energy (and the occasional celebrity).

Exposure to senior management: I am very thankful to be put on projects supporting the company's senior leaders. I feel respected when working with people levels above me, and most of the time, I feel as though my work is valued.

The balance: (Disclaimer: I imagine this is very dependent on who your manager is.) My boss is very understanding. If I need to leave early or work from home, I leave early or work from home. I can still manage work, school, and my social life. Granted, some nights I stay late to get my work done, but they serve a pretty delicious dinner at 8 PM, which helps."
"1533","Friendly and approachable peers and managers
Care about training their developers in new technologies"
"1534","Great benefits:  Four weeks paid vacation, a company-match 401k that is above average, reimbursement for attorney registration, maternity leave, wage works program, a decent reimbursement for exercise expenses, and of course free snacks and drinks all day.   

Career development programs:  Bloomberg offers a ton of classes for employees through a program called 'Bloomberg University'.  You can learn the in's and... out's of finance as well as take classes to increase your technical abilities in XML, Excel, and basic programming.  There are also courses to improve public speaking, conflict management other useful business/interpersonal skills.  

Volunteer Opportunities:  The volunteer programs at Bloomberg at top-notch and really one of the most impressive parts of the company.  There are employee 5k's, big brother reading programs, and even opportunities to help build homes with habitat for humanity.  The culture encourages participation and in many instances Bloomberg will even match personal donations to many causes.  

Diverse community of peers:  There is no real 'type' at Bloomberg and that seems to be an intentional part of the hiring practices to ensure diversity.  I've worked with men and women of all backgrounds and always encountered a respectful and thoughtful interaction between my peers.  A decent HR program ensures that people act like professionals and even minor issues are quickly addressed.  I definitely feel a sense of pride to work for an inclusive community that encourages diversity."
"1535","-Cool company
-Great work environment
-Young people"
"1536","They do care about you and your career path;
good salary;
good chance to learn about finance"
"1537","Bloomberg can be a really good place to be. The news is important and usually standards are very high which keeps you motivated to perform."
"1538","Great name on the resume, smart people, snacks."
"1539","smart people, good management, proffessional"
"1540","Lay back work environment. Free snacks."
"1541","a) It's mostly software company thus software developers are treated as first class citizens which is not that common for NYC;
b) Competitive benefits (base + bonus, 401K, medical, etc)
c) Great life-work balance (flexible schedule, 20 work days vacation, 20 sick leaves, work from home, etc)
d) Broad range of projects and architectures - client/server, unix, windows, mobile, Java, C, C++, C#"
"1542","Great benefits, great people, lots of flexibility"
"1543","Good work environment, well known company, not just in finance industry but outside as well. Good continuous trainings while working there, so if you are keen to learn you can improve your knowledge in whatever area a lot."
"1544","Great people, great pay, and lots of opportunities to develop your skills or learn new ones. The pantry is fully stocked with food and drinks. There is no shortage of company amenities as manager permits."
"1545","There is free food, it is always a good name on your CV, they have nice and modern equipment and offices."
"1546","Great benefits, opportunities for volunteering, matching charitable donations. Bloomberg is a stable company with a strong history and commitment to philanthropy, and lots of opportunities for taking classes in finance."
"1547","Good amount of responsibility applied very early on. If you push your manager they will give you the opp to move forward quickly"
"1548","Great transparency between management and staff. Lots of room for growth. Decent office perks like fresh fruit and juice. They respect the work to life balance."
"1549","I have some very fond memories of working at BNEF. As a unit of Bloomberg it has its own unique culture and atmosphere, stemming from the days before the acquisition. The analysts are extremely smart, picked from a wealth of talent - available from the best schools. The sales teams are focussed and driven. Performance is rewarded on a team basis, which has its drawbacks, but ultimately fosters a collegiate... environment where people work for each other."
"1550","-The people I worked with (team members) are wonderful. Extremely hard working and good people. 
-Nothing else."
"1551","Bloomberg is a very progressive company, they provide a ton of value to their consumers. Rewarding place to work."
"1552","The cafeteria is amazing. Breakfast, lunch, dinner, and snacks all day everyday."
"1553","Benefits, training, perks, connections in the industry"
"1554","Great company and people are smart. The office is very cool and they send you down to their Princeton Office atleast once a week to work with other teams"
"1555","Great product that continues to develop. Mike Bloomberg has grown a wonderful organization. Great people and culture. Benefits are exceptional."
"1556","benefits, sometimes good projects, open place"
"1557","the breakfast, really that's all"
"1558","Good experience, smart people, good perks"
"1559","great place to start, good name on resume"
"1560","a) It's mostly software company thus software developers are treated as first class citizens which is not that common for NYC;
b) Competitive benefits (base + bonus, 401K, medical, etc)
c) Great life-work balance (flexible schedule, 20 work days vacation, 20 sick leaves, work from home, etc)
d) Broad range of projects and architectures - client/server, unix, windows, mobile, Java, C, C++, C#"
"1561","Nice to go on the mornings. Friendly colleagues. Interested clients."
"1562","Great benefits, great company structure, and lots of room to build your career whether in the financial side or technical side."
"1563","-work closely with management
- build lasting relationships
-learn on the job"
"1564","Beautiful facilities, free snacks/drinks, and the ability to innovate inside and outside of your domain.  Dedication to philanthropy is second-to-none and embedded in the culture.  The best part of Bloomberg is that you move really quickly due to a lack of red tape -- projects that would usually take 2-3 years at banks take only a few months at Bloomberg.  If you embrace the culture, it's a really fun place to work."
"1565","* Awesome colleagues - like family
* Beautiful offices with lots of open space, and killer fish tanks
* Lots of opportunities to do philanthropic work, and rewards for it
* Cadillac benefits
* Great parties and events
* Who doesn't want to run into Mike on a daily basis? 
* Charlie Rose is filmed in the NY office and you see famous people all the time
* Great free food."
"1566","Good benefits (401k, fully paid health benefits, decent salary). Nice office"
"1567","Fun, fast-paced work environment, beautiful building, great perks"
"1568","Innovative workforce in a dynamic workplace.  Very high caliber colleagues."
"1569","Bloomberg people focus on getting results.  Get early early enough and get unanounced additions to the free breakfast."
"1570","Perks, good pay, different teams and cultures, friendly"
"1571","Challenging environment, Great People and culture"
"1572","Different regions, a lot to learn, hotel points"
"1573","Family atmostphere everyone is friendly"
"1574","In NYC, good starting point if interested in Financial field."
"1575","There are some interesting SaaS technologies being used."
"1576","professional colleagues and well structured business
lots of opportunities and clear career path
good brand for your resume
LOADS of Benefits
volunteering opportunities"
"1577","The company provides thorough training opportunities, but to be honest, they are only useful for non finance major students, very basic knowledge that every finance major would have known in college.
The company claims they have great corporate culture, which may be true from some point of view. Colleagues can be supportive sometimes."
"1578","Good Culture, Free Food, Great Health Benefits"
"1579","Great company culture.   Phenomenal place to launch your career."
"1580","Good company and good people"
"1581","Learn the basics of buy-side workflow in a strong team environment. Two-week training in New York City."
"1582","Free food, 401k, health benefits, Mike Bloomberg"
"1583","Part of Bloomberg. Very stable compared to your average company, especially financial firms. Really do take a long-term view. Lots of people who have been with the company for many years. In general I would say Bloomberg takes good care of its people and it's a good place to start a career.
Being part of Bloomberg can have a lot of advantages. A lot of potential here."
"1584","Good opportunity and good growth, can learn a lot, always wanted to do this kind of job where it is of my interest."
"1585","Benefits, Travel, Policies are the best anyone can offer"
"1586","focus on employee, dynammic, results,"
"1587","Good benefits, free snacks, and one of the better compensation packages available in my field. Technological resources are plentiful."
"1588","Great company to start a career immediately after college.  Excellent training program with financial markets boot camp."
"1589","pay is low since an Agent took a lots."
"1590","Challenging environment, Great People and culture"
"1591","small team with hardworking employees"
"1592","Free food, good overal overview of financial players and the freedom to go and sit with our departments. Good pay"
"1593","Very competitive salaries. Some of the best benefits I've found anywhere. Lots of opportunity to move around within the company."
"1594","free snacks, cool office, great benefits"
"1595","18 weeks fully paid maternity leave. no premiums on health insurance for self and children. matching 401k up to 12 percent. 20 days vacation."
"1596","Flexible organization and open to allowing you to move divisions and countries"
"1597","Good opportunity
very international
young team of motivated people"
"1598","Good place for starters and learners."
"1599","-Solid benefits package
-Great pantry
-Young vibe
-Learn lots in the beginning about finance, sales, etc.
-Driven & vibrant atmosphere"
"1600","Awesome environment, approachable management"
"1601","Flexible and relaxed culture
Exposure to all the market players in finance
relatively easy to shine 
Great benefits and work life balance"
"1602","Salary, travel, Bloomberg culture and summer party. Oh and the kitchen! Rewards are few and far between. 98% of your eval will concentrate on the 2% of things to improve on"
"1603","Great benefits. Professional Staff. Team Environment"
"1604","The hours are not bad at all, working 8-5 or less depending on your team. When at work, it is very easy to only actually do roughly 3 hours of work per day and spend the rest browsing the news (as a shockingly large number of people do), or working on your resume & linkedin, or writing scathing glassdoor reviews. 401K and all benefits are great. There are some really great people here as well, it's just that most of... them will be out the door sooner or later for a better opportunity."
"1605","-lots of snacks and drinks
-great pay
-great ""culture"""
"1606","BBG has incredible Innovation, benefits, career advancement, an compensation. Great firm to launch or finish career as advancement is based on merit."
"1607","Free snacks
Clean office
Access to a lot of news around the world
Great if you're right out of college but not a long term job"
"1608","free food
really bright people
lots of training
philanthropic company
competitive salary"
"1609","Superbe société, une ferrari dans son domaine, expérience trés enrichissante... Tout est bien huilé et fonctionne de manière optimale..."
"1610","There are good benefits, snacks and state of the art equipment. Standards are very high but there is also training to help you get better at your job through Bloomberg University"
"1611","Has a great working environment, people are young driven and enthusiastic. Work life balance is also really good. Would definitely do it again."
"1612","I worked as a Data Analyst within the Global Data department for several years. Overall I'd say this is a great place to work for those who want to simply collect their paychecks (pretty decent amount too) without all the stress often associated with similar salary range in any other firms. Keep calm and tag data, then you shall be rewarded with a peaceful and decent life. I have no idea how anyone can leave a 4- or... 5-star review of this place, but I am very happy for them that their experience working at Bloomberg was significantly better than mine. Here are some things I liked about working there:
- Free breakfast, lunch, and snack at the cafeteria - obligatory mentioning of the free food for the employees. I know it's cliche, and almost all past reviewers mentioned it, but it does save a lot of money for food. Don't expect anything too fancy, but hey, it's free. With that said, I should also mention that it's pretty sad for a workplace when almost everyone lists free food as their favorite part of their job.
- Very flexible hours and incredibly easy job – during my time at the firm, I never had to work late or come in during weekends/holidays. Most people come in after 8am and the office is deserted by 5pm. You only spend 2-3 hours each day actually doing your job (I agree with the person who called it “dystopia” – if you have to spend more than that, you should seriously reconsider your life), and are free to do anything you want (read the news, pretending to do work, etc) for the rest of the day. The job itself is incredibly easy, and I seriously doubt that you need a college degree to do any of our daily tasks. 
- Great benefits and decent salary – Bloomberg employees get some of the best benefits out there (health, dental, vision). You also get unlimited sick days on top of your 4 week paid vacation. I also think that the pay is pretty decent for what we do, at least for the NJ-based employees. I’ve read some reviews here (perhaps they worked in NYC) and heard my colleagues regarding how they think they are underpaid compared to “their friends who work for banks and other financial firms.” – I disagree with them. For what we do and how much work we do, I think the pay is fair. It’s pretty embarrassing to hear some of them comparing themselves to traders and PMs on the Street.
- *Some* great colleagues and constant collaboration – Like many other reviewers mentioned, you will meet some very bright colleagues in the firm. I also like that the company does a good job of promoting collaboration (both within the team/department and outside), so you can team up with smart people to work on interesting projects. The problem is that these people are rare, and they always end up leaving after several years because the job itself is nothing but repetitive and mindless. I have truly enjoyed working with some people during my time at the firm; I just wish I met them elsewhere so that we would work on something that actually mattered.
- High degree of freedom – most of the managers in the department are clueless and have no idea what is going on and what you are working on. This means that you have unbelievably high degree of freedom, and can get away with almost anything. You can literally not do any work for one full week and no one would say anything to you, so long as you remember to ask your managers how their weekend was, how their dogs are doing, how their kids did in their baseball/soccer game, etc. By the end of your first year, you will become an expert in small-talks and master the art of superficial smiles."
"1613","Just received an offer from Bloomberg. Interview was pretty standard for IT company. Two interviewers in the room for each tech round asking algo, data structures, design questions. Questions are generally easier than in the companies like Google or FB, but there could be some unexpected/difficult questions."
"1614","- Working with smart people, most of them are ready to help
- Well furnished pantry where you can grab a coffee with colleagues
- Lot of training options for you to learn (even if not directly related to your working domain)
- Possibility to move within the company (change team)
- Get to travel quite a lot depending how much you are involved in outside-work activities
- Philanthropy: if you like it, you can get... involved into helping the world
- Bloomberg matches most of the financial donation you make
- Flexibility. If you have a good reason you can have a flexible schedule (6am - 4pm, for example)
- In general, management will try to please employees (as well as interns)"
"1615","Prestigious company to work for!"
"1616","Amazing benefits, beautiful facilities, free pantries, youthful and energetic culture, great mobility and opportunities, snacks, positive energy, you can stay many years and have many different jobs. Pay is good and raises very nice."
"1617","Encourage to work outside comfort zone continuously."
"1618","Free breakfast and lunch everyday. Nice people to work with and a foot in the door at one of the best companies to work for."
"1619","Greet company to be apart of"
"1620","- Best benefits on the market. Bar none. 
- Supportive management team. Own your career.
- Flat organization structure. 
- SMART PEOPLE"
"1621","Young crowd, hardworking, lots of opportunity to move internally.  Lots of perks for full time employees and looks great on CV. Decent salary, bonus ok and almost guaranteed."
"1622","The company is well known and it gives you the opportunity to find a better job afterwards, due to its reputation."
"1623","World's top financial data/analytics/news company; very good pay and health/family benefits; classy corporate culture; diverse multilingual broad workforce of younger and older; generous work-related travel policy; great office space designed around food, snack, beverage hubs;  business card or ID often good for discounts at local museums & culture spots"
"1624","Great people who want to work hard for the founder..."
"1625","Excellent company to work for. Great Benefits. Free snacks and coffee. Lots of perks and Bloomberg will pay for training and education in most cases.
-Amazing medical benefits.
-Salary is better than most places"
"1626","1. benefit
2. open culture
3. positive attitude
4. nice environment
5. location"
"1627","Fast-paced environment, supports employees' learning, friendly coworkers and managers"
"1628","The office is sleek and modern. Fish tanks line the walls and the glass door conference rooms create an open atmosphere. The kitchen has a lot of healthy snacks and 3 free meals a day is a luxury most other offices don't have. 
The people for the most part are all really nice and there is a good feeling of camaraderie amongst a lot of the younger analysts. 
The salary and the benefits are second to none and the... global company events like the New York summer picnic as well as philanthropy are amazing."
"1629","Good work/life balance, plenty of opportunity to travel or work abroad, great benefits & fair compensation for work required"
"1630","Good salary, amazing training, very smart people around"
"1631","Great work environment and great employees. A lot of networking opportunities."
"1632","Good salary and benefits, smart people to work with"
"1633","Great Benefits and a nice place to work with nice people
Free food
Clean work environment
Will learn skills that will benefit you in life"
"1634","Good Benefits and salary for starting job"
"1635","Training opportunities, free food, great philanthropy and sustainability goals, excellent benefits"
"1636","great work life balance. Great food. very encouraging work environment. Cool atmosphere. Casual Friday. developed additional skill set while working there"
"1637","Good benefits/time off plans. A lot of flexibility around your schedule and travel schedule."
"1638","Great software engineers as coworkers."
"1639","Good infrastructure, benefits and work culture. Employees work hard. Everything is streamlined. All issues (non-technical) are resolved very fast and efficiently. Extremely good insurance and other benefits (including free museums, Employee assistance programs, summer picnic, volunteering opportunities etc.)"
"1640","Young crowd, hardworking, lots of opportunity to move internally.  Lots of perks for full time employees and looks great on CV. Decent salary, bonus ok and almost guaranteed."
"1641","Somewhere to work as a backup plan between jobs.
Free toilet paper.
Free snacks.
Free training how to be a better Bloomberg employee."
"1642","The salary may seem a little low, but you save money with the free breakfast, lunch, and if you stay late enough, dinner. All positions are unique. You are given a job title, but you can organize it how you want to. You could do more work on the coding side, on projects, or both."
"1643","Benefits, Perks, Great people, Training is top notch."
"1644","Free snacks. Casual dress. That's it."
"1645","great place to develop your career and take on more responsibilities
flat structure and collaborative and entrepreneurial environment
you are surrounded by smart and driven people"
"1646","Dynamic and vibrant atmosphere. Good mix of European and Global workforce which makes for a diverse workplace. 

Good 8 week training program for new recruits to give you a thorough understanding of how the markets work and how Bloomberg sits in the market place as a competitor."
"1647","Good benefits for family, they take care of you if you are loyal to them. Big company therefore opportunities to move around also. I was there for nearly 9 years and was able to create multiple roles for myself as a software engineer. Great place to learn about technology and business."
"1648","Solid benefits, snacks, office and office environment."
"1649","Great culture and a nice place to work"
"1650","good benefits and good working enviroment."
"1651","The culture is fun and exciting"
"1652","Good pay for the later years"
"1653","Great community, employer cares about employees."
"1654","Low hierachy
Benefits
Open cultures
Pantry like a minimart"
"1655","Good salary and not very busy"
"1656","Fun and interesting job for college students"
"1657","There is high exposure to the financial markets with their different roles. As a company it is extremely multicultural and has mostly young staff which creates a good atmosphere."
"1658","Free food! That's it. Let you listen to music while working."
"1659","Beautiful work environment, strong IT support, fast-paced culture, incredible employee benefits."
"1660","The people that you actually connect with, will be friends for life.  There are definitely opportunities for you to grow personally, but they are not always obvious."
"1661","good work life balance, not much stress if you preform"
"1662","Great pay, great fish tanks, not publicly held, most everyone is smart, Mike knows what he is doing, is that 20 words yet?"
"1663","Modelo de gestão baseado na meritocracía; excelente ambiente de trabalho; colaboradores com alto nível acadêmico e intelectual; processo constante de treinamento e oportunidades de desenvolvimento profissional e pessoal."
"1664","Great community outreach, better technology processes in the pipeline. Much improved over the years."
"1665","Excellent benefits, free lunch, lots of problems to solve and an overall push for technical growth for everyone. Management encourages you to try new things and encourages growth. Managers allow you your independence and there is not a lot of hand holding."
"1666","Excellent opportunities to learn about the markets and to get in-depth knowledge about how an asset class work.  A lot of young people makes for a social and fun workplace. Benefits are great. No expectation to work extended hours is really appreciated."
"1667","learning curve is high for the first six month"
"1668","Benefits are great, they start day 1 and you don't pay for benefits. They have a pantry so all the snacks and drinks you can get."
"1669","A very dynamic and multicultural company. The company culture prompts being sociable– the pantry (all day, everyday), meritocratic system, great office space, can engage in helping society, e.g volouteer etc."
"1670","The culture is fun and exciting"
