answer_re,answer_re_n
"Per un giornalista è un'arma a doppio taglio. Da una parte si presta molta attenzione al modo in cui gli articoli vengono scritti e non si fanno uscire notizie tanto per fare. Dall'altra parte, questo apre le porte alla microgestione e ad alcune regole abbastanza limitanti su cosa e come scrivere. Ampie possibilità di crescita e di avanzamento di carriera.",
"great people. free food, company paid health insurance","insurance, free, health, great, company"
"Good Perks , Nice environment",environment
Awesome gold-plated benefits and office. Some interesting problems in some groups. However it is completely dependent on the group. Good summer party. Generally smart colleagues who are nice to work with. Generally meritocratic.,"work, smart, benefits"
"This is a real meritocracy where your hard work will translate into opportunity. The company is financially and structurally stable, so you aren't distracted by quarterly shareholder meetings and pointless reorganizations.","work, company"
"Bloomberg generally looks after its employees - free food, exciting offices and not stingy on the perks. Colleagues tend to help each out and the culture that has been built makes you feel part of something bigger. Strict - working hours is cool but a bit weird when every day at : and : there is a huge crowd at the doors looking to enter/leave the building.","free, culture, working, hours"
Great office to work in and benefits package is excellent.,"benefits, work"
"Great training, benefits and reasonable hours. Lots of smart, hard working blue collar types who are willing to invest their time into helping colleagues learn.","benefits, working"
"Great company to start as a your professional as opportunity to learn and develop yourself is incredible. Flat organizational structure and friendly colleagues. Great culture and pleasant working environment, good benefits.","culture, friendly, working, company"
"Great healthcare benefits, perks, time off, snacks, and a wonderful philanthropic focus.",
plenty of opportunities for promotion,
"nice pantry and free food, great people (quite a young employee base), good opportunities for learning.","free, great, people"
"nice pantry and free food, great people (quite a young employee base), good opportunities for learning.","free, great, people"
The pay is decent and % medical benefits for the entire family.,"benefits, pay"
"Bloomberg has a young, fast-paced culture that welcomes fresh college grads and constantly looks for ways to innovate, improve their products, or access new markets. The benefits are great including everything from free food (all day, every day) to (k) employer matches up to % of your annual salary, fully-sponsered and reimbursed MBA programs and CFA programs, and weeks paid vacation from the first day you... start. There is also an extensive -month training program for new hires so onboarding is very smooth and easy. No need to worry about being thrown into something that you have no idea how to do.","benefits, food, free, culture, great"
"Bloomberg is a great name to have on your resume, to use to impress friends and acquaintances, and if you like to graze on snacks. As a news organization, it produces compelling content that is sought after and respected around the world.",great
quick increase in salary andalot of exposure,salary
"Culture, Management, Benefits, Recognition, location",
"Free food, shiny offices, talented employees, amazing fish tanks",talented
good salary for new graduates,salary
"- Gave me a chance although I didn't have much on my CV, beyond a university degree. - Full of clever people (do they hire anything other than Oxbridge students?) who are passionate about the energy industry and the challenges of moving to a low carbon ",people
"- Many people have commented that there is a lot of legacy code and outdated practices. This is true, however, since upper management within R&D has been shaken up, a large amount of investment is being made in infrastructure and dev practices. - The ta","people, management"
"Free food, reasonable time-off policies, talented employees",talented
"Good benefits, very nice office and pantry. Most of the people you work with are very friendly and nice . Good training on how to use Bloomberg efficiently","people, work, friendly"
"Decent training, good name on resume, good introduction",
"Great Health care benefits ,",benefits
Always reinventing itself and high energy work environment,"environment, work"
A company that genuinely cares for their employees. Offers fantastic welfare and health benefits.,"health, company"
Outstanding benefits. Medical benefits were great. Free food. Amazing summer party for employees.,benefits
"Great benefits, almost unlimited resources, will invest a lot in employees they value",
"Bloomberg's a good place to start a career. It's a good atmosphere, there's plenty to learn and you get good exposure to various financial institutions. The key is to leave before you skills become too Bloomberg specific.",place
"If you do well, and have a supportive team leader and manager, they are very quick to give you more responsibility. Once you are established as a solid team player, there are many opportunities for growth, educational reimbursements and slow but steady raises.",
"Perks, salary, gadgets, equipment, traveling, office environment, quality of staff, office design, status, benefits,",
Colourful office and nice pantry Open concept makes communication easy and natural Good health plan and benefits (stay stars hotel during business trips) Fun and friendly colleagues,"benefits, health, friendly"
"Good money, great perks, solid benefits. Some of the best people in their fields. Terminal access from your own home.","great, people"
"Clever People, Interesting Technology, They look after their employees.",
"great benefits, transparent work culture, amazing food, great benefits, transparent work culture, amazing food, great benefits, transparent work culture, amazing food","great, work, food"
"good work-life balance, good pantry, got a lot of time to chill during work",work
"Great Pay, great prizes to win!",great
"lots of autonomy, vibrant buzz. Flexible time off policies. Internal Mobility is a plus, alot of on the job training given. Bloomberg Philanthropy is also a big hit",
great experience right out of college with great sales training,great
"Excellent benefits, lots of opportunities for advancement if you put in the hours and get results. People who work here are very smart, driven and competitive.","work, hours"
"Great team, relaxed atmosphere, but be prepared to work hard, good company culture, free snacks, summer picnic, bonus, great benefits. In general Bloomberg take care of their employees.","free, work, company, great"
Vast knowledge to be gained but lacking depth and quality.,
"The financial industry knows that Bloomberg only hires good people. I've got a co worker who was turned down multiple times by Bloomberg, and eventually accepted by Goldman. Good salary, average bonus, good fringe benefits like organic snacks.",benefits
good learning curve and environment. good people and free food. lots of good technology and technology people. good place to start career.,"free, place, people"
"It is a meritocracy where you are rewarded for your contributions. Lots of ownership leading to a good learning experience. As a firm, it is quite nimble and flexible.",
"Collaborative, lots of talented people, good salaries and benefits, great product.","great, talented"
"Low pressure environment and nice colleagues, plus great perks like free drinks and snacks as well as the best health insurance policy I've heard of. You are always listened to and the company does not feel very hierarchical. Location in London is great and the new office under construction should be even better.","snacks, great, insurance, free, health, pressure, environment, company"
The pay and benefits are second to none.,"benefits, pay"
"Free food, young environment, colorful office, big brand",
"Fabulous benefits, competitive salary, high-energy work environment. There is always something interesting going on.",work
"Great salary, company takes care of you, loads of perks, amazing kitchen, free lunches, dynamic and high pressured work environment","environment, work, free, company"
Entrepreneurial Culture Managers want you to succeed Pay is not tied only to how you and your business line does but the overall company Vacation Days & Great Benefits,company
creating an equal opportunity environment,environment
"Variety of positions, though mobility seems to be limited. Free food and snacks and well kept office environment. Decent pay.","snacks, food"
"Best companies, professionals, best experience, good training",
". ownership - you are constantly encouraged to take ownership of your career . flexible - of late, the management seems to have become more accommodating when it comes to employee needs like work from home, family situations etc . it is relatively easy to transfer to a different team if you are not satisfied in what you are working on currently . Though it has an image of being a 'Financial' organization, it... feels like a tech company","work, flexible, management, working, company"
"stability, cross departmental mobility, great culture, great working hours","great, working, hours"
#NAME?,salary
"Office culture, solid base pay,",
A lot of stimulating challenges with wide choice of career paths. Good educational support and resource allocation. Good incentive program and perks.,
"Stability, prestige, it's a ""nice"" place to work. You get free snacks and coffee.","snacks, free, place"
"Great training programs, great benefits, great perks, great upward mobility",great
"fast paced, on the move, lots of things happening",fast
"learn a lot about business news, smart and talented reporters, free snacks","snacks, smart, free, talented"
#NAME?,balance
"Provides ample of opportunities to work on challenging technology centric problems (low latency, large scale). There is strong emphasis on providing outstanding services to customers. Compensation and benefits are better compared to peers. Ample opportunities for meaningful engagement in community volunteer projects as well.","benefits, work"
Lots of technology projects. Plenty of perks inside and outside the office (some people don't take enough advantage of these). Decent hiring process. Good mentorship for junior hires (college recruiting is very well done).,people
"work enviroment, growth, compensation, work-life balance","work, balance"
"The colleagues are great and the benefits are quite good. The possibility of path and career advancements, as well as international moves are good.","great, benefits"
"Global reach. International workforce who frequently work together in global projects. Good reputation with clients. Comprehensive internal management and billing systems. Benefits. Lots of opportunities to learn everything you want about finance, business and investments. Private company not concerned with quarterly results. Financially stable and solid, with immediate access to a large pool of... low-cost capital from its founder and controlling shareholder, Mr Bloomberg, who is very, very rich.","work, company, management"
"Dynamic, fast-paced and energetic atmosphere; excellent employee benefits.",
"free food in the kitchen, chance to travel and meet people from various roles.","free, food, people"
"Excellent pay, great benefits and excellent culture. The company still acts small even though it is massive.","great, benefits, company"
Nice office. smart people. free food,"free, smart, food"
"smart people, efficient systems, employees taken care of, you're expected to do your best and the environment allows for it","environment, smart"
"working within sales is a high pressure job but they train you very well - about the product, theory & how to sell - in fact even if you're not in sales its always about sales (or so they say though see cons) it has a great kitchen & the people are very helpful and nice you can pretty much get all the support you need as long as you sell you meet some great people on the job interms of clients and its great for... networking pay is good great work life balance - like being in school though (in at on the dot and out at )","people, pay, work, pressure, working, great, balance"
"Great office culture (very friendly, transparent, open, young), great work life balance, nice extra activities and optionals, good atmosphere, not bossy atmosphere where ideas can be heard and people feel free to speak up, very sensitive to diversity (internationally, minorities etc...)","people, work, free, culture, great"
Many opportunities for growth. Open environment. Many occasions to celebrate and appreciate employees.,
"fun environment, people are smart and hardworking. beneftis are great","great, smart, people"
"If you have the right frame of mind, you can develop a lot of freedom in what you can choose to work on. Over the years I developed a reputation as a goto problem solver, and the result was that I could choose what projects I wanted to work on and how much of my time I spent on each project.",work
"It's good to work for a media company that has deep pockets. I don't just mean the above-average compensation, benefits, nice offices, other perks. When this company puts its mind to something, it can throw resources at the problem. Whether it does or not is another issue. It has a great core product. The Bloomberg terminal, when used properly, is a remarkable device. A parallel Internet. Overall, the people I've... worked with and met at the company have been decent, caring, hard-working people. The training options at the company are quite good but not always made available to everyone. You sometimes have to fight to get on courses.","options, people, work, great, company"
"If you are a self-starter, innovative- and reform-minded person, you can enjoy working here. So many things changes in a year or so, and if you are independent even you can offer new ideas to make your work environment better. In some cases, anything can be possible kind of company. Compensation is probably the best among the journalism industry.","environment, work, working"
"extremely efficient, brilliant programmers, smart business model to have everything revolve around the terminal",smart
"They like to hire people with international experience. Great brand. Perks like extensive health benefits, free food on the premises.","free, health, food, people"
Learn more about bloomberg terminal and the company,company
Best benefits and great network of clients,"great, benefits"
#NAME?,
Seemingly great opportunities - not on the legal (product & data) side. Financial side poses much better chances for long-term growth.,great
it is nice working environment. People are friendly here and It is in NYC!!,"friendly, working"
Company is really dynamic - changes happen virtually every few months so you won't get bored. Environment is very good too - people are by and large friendly and supportive. Managers trust you with a lot of responsibility from early days. Performance is expected and rewarded.,"people, friendly"
"open culture, very good team work",work
"Decent pay, lots of opportunity to learn and grow, great office space",great
"Great working environment, opportunities to move up",working
"I was in the R&D department of Bloomberg for over years. The company is very profitable therefore job stability, health benefits, time off are all very good. The company controls their own technology stack from the client software running on the user's desktop, to their network connection end to end, to huge data stores in their data centers. As an engineer, there are many interesting problems to work on. ... However, due to the profitability of the company, there is not much incentive to do basic improvements to their infrastructure, reduce operational costs, or increase automation. This can be frustrating as much of the organization is involved in updating work tickets and doing manual changes. This kind of environment can be great for someone who wants to not think or work too hard and just punch in the clock.. but if you are intellectually curious and are ambitious to learn new technology it can be very suffocating. Further, much of the organization is involved in operational roles and have no desire or passion to improve technology.","great, work, health, environment, company"
"Accessibility to senior leadership; open design and beautiful office space, work-life balance; great benefits and perks including an on-site medical center. very diverse employee base. great marketing and aesthetics.","great, benefits, senior"
"Training Training Training is soooooo helpful and gain a lot of knowledge, cs and finance. Pay is ok for the first job.",
"Lots of resources, access to almost anyone in financial services, good training programs, food and other amenities are topnotch Employee perks like summer picnic and Big Apple Circus make you feel valued",food
They have the resources & technology,
"Great benefits, collegial environment. New York building is amazing - food is everywhere and views are beautiful.",food
"Free Food, Very smart people, Great training. The training is very good and the time spent in analytics is by far the highlight because you don't spend any time doing the actual job, you just go to classes and participate in team projects.",smart
"Decent money, that's about it.",
"Work with great people, great product and ok compensation No payment to health insurance from employees","insurance, health, great, compensation"
"Salary, stability, summer party, prestige",
"Nice environment, full of young peop e",
"free food, friendly people, constant events, opportunities to move into different departments, very diverse culture, located in the city of London","free, friendly"
"My manager was a great guy to work with, very helpful, professional, very much enjoyed working with him. Being that I worked remotely, I did not interface with too many people from the company, only a few. But those that I did were very helpful, very friendly, and very professional. I definitely enjoyed that aspect of the job.","great, work, people, working"
"Bloomberg takes care of its employees, from free snacks to an generous HR policies, it's a great place to work. weeks vacation to start! Also there is a wide variety of people from Finance analysts to R&D with varied backgrounds and experiences. There is no one bucket employees come from (though there tend to be too many MBA's in my opinion)","snacks, people, place, free, great"
They try and lure you in with the free food and benefits which is good for only so long until you see what goes on day to day.,"free, benefits, food"
"Professional, Ethical, High emphasis on learning and open communication",
"When free food is the bigger pro you can think of, there isn't much to like about. Benefits are good too I guess. And since they hire a lot of fresh-out-of-college grads, it can be a good starting place.","free, food"
"Health Insurance, Nice Office, Good People. I met some great people at Bloomberg and their health insurance and other benefits are without a doubt the best you can get. At first it appears like a meritocracy that values creative thinking and good work. There is some mobility within the firm and if you are pushy enough and talk to the right people you can try new things. Their philanthropic efforts are really great... and you have a lot of opportunity to participate, which the company will generously match.","benefits, people, insurance, health, great, company"
You are working for an industry leader that makes a superior product that sits on the most important desks in the world. Along with the prestige is the fact that you are treated extremely well with perks that you would never receive elsewhere.,working
"The work is challenging and very rewarding. The company cares a lot about its employees and it shows through the competitive compensation, great benefits, and access to whatever you need to get the job done.","great, work, company"
"Generally friendly people, free food and drink, you will learn how to multi-task and deal with challenging stakeholders and colleagues. Great looking office, can get things done pretty quickly. Growth opportunities but only if your face fits. Some people have been here for years and years.","free, people, food, friendly"
Hands on variety of things,
"Benefits, multinational corporate and expansion",
"Good remuneration, good benefit for kids and your family, lots of trainings, vibrant working environment.",working
The People are great to work with,"great, work"
"flat management structure, zero employee health insurance premiums","insurance, health, management"
"good pantry, nice working environment","environment, working"
close to home and provide food,"food, home"
Often times work is good(technically) Taking ownership of a Product is rewarded More than average pay,"work, pay"
Bloomberg has fixed interview.,
The moola and grand vision. Beautifully designed building. You get to work with some brilliant minds.,work
"Free food, occasionally interesting work, cosmopolitan employee base",
"Free food everywhere, much of it healthy. Congenial environment, most-friendly. Great benefits.",food
good teammates; not being micromanaged.,
"The benefits under Bloomberg LP are second to none and the corporate culture, while it takes a little getting used to, is a big plus. The company values accuracy, transparency, and fairness. It puts its money where its mouth is, too: lots of resources for investigations, in-depth reporting, and fighting for access to documents.","benefits, company"
"Great snacks, office is nice and modern.",
"Good work/life balance, smart people, in my role, I am always on the cutting edge of the market, excellent benefits","benefits, smart, cutting, edge"
"Nice co workers, smart staff and fun holiday events",smart
Large budget Above-market salaries Global office presence,
Fair compensation. Amazing office and mostly amazing colleagues. Solid work/life balance.,
"Growth opportunities, learning is encouraged and there are a lot of courses available Amazing office and people to work with Volunteering opportunities","work, people"
"No pros whatsoever in this awful, awful place.",
"Entrepreneurial spirit, Flexibility to chart your own career in different areas of the business, mobility between different geographies",
great job stable free snacks,"snacks, free, great"
Great colleagues to work with.,work
#NAME?,"benefits, balance"
"Excellent work life balance, pleasant work culture","work, culture"
Opportunities for education,
Free food Business travelling Good benefits,"benefits, food"
Ambiente de trabalho Produtos disponíveis Benefícios e salários em carreira inicial Fácil mudança para carreira internacional,
Great company with a well diversified team. Plenty of opportunity to work and travel nationally and internationally.,"work, company"
Flexible work arrangement is available. Not compulsory to work overtime. Great retirement benefit.,work
Company really knows how to take care of the employees. Great atmosphere,
Medical Care Aquariums Equipment Located in NYC A building full of really smart people,"smart, people"
"Great office, smart colleagues, growth opportunities, good benefits, volunteering opportunities, travel opportunities",smart
"The analytics training program provides employees with an excellent foundation in market concepts. I found their Fixed Income training the best a recent grad can acquire. Additionally, there are excellent exit opportunities from what I've heard from past employees.",
"Kitchen has snacks, very upmarket office",
Amazing environment and people to work with,"environment, work, people"
"great culture, great mix of people with exciting compensation & benefits","great, benefits, people, compensation"
"Large organization with a global presence, benefits and snacks are generous.","snacks, benefits"
"Great culture, people and benefits","benefits, people"
"Salary, Diversity, Challenges, Internationality, yearly Summer Picnic",
"Great product, evolving in the marketplace",
"Mentor culture, down to earth work ethics, work life balance, superior health package","work, health"
good benefits and insurance fair salary learning opportunity,"insurance, benefits, salary"
"Great people, excellent work culture","work, culture"
good location and free coffee,free
Fast paced environment with great benefit packages,"great, paced, environment"
Lots of resources to use day to day,
"Great benefits and employee compensation package, tuition reimbursement, free food all day, work/life balance, good team lead, challenging work if you know how to navigate around it. Your experience is up to you.","benefits, compensation, work, food, free"
"Awesome culture, good people, free snacks","snacks, free"
"Second to none benefits, culture, and snacks!",
"É uma empresa enorme, com uma quantidade excelente de benefícios, pantry, bom plano de sáude, salário compatível e etc.",
"Ótimos benefícios, ambiente leve e descontraído.",
"Open, collaborative, allows internal mobility, excellent benefits, excellent culture",culture
Great opportunities within the company Possibility to learn constantly thanks to good trainings Good corporate culture Incredible offices,"company, culture"
You learn a lot with trainings,
"good culture, great company, fantastic benefits","great, benefits"
"Good culture, good senior management, transparency, flat hierarchies",senior
"Team collaboration, environment and product",environment
"Great benefits, offers many opportunities for self development, management invests in subordinates",management
Exciting and interesting projects to tackle.,
"free culture, pantry, nice people","free, people"
"Great compensation, some amazing people. Bloomberg access.",
Medical Benefits Lateral movement Free Food Good Working Environment Encourages collaboration,
Good location Good medical health insure,health
Good culture Fast paced Change is a part of daily life,"culture, paced"
#NAME?,"environment, company"
"Exceptional training, encouragement to move internally, various different teams with different workflows to join",
"People are very helpful, friendly. Depends on the Dept. your in, you can go far. A lot has changed, if your starting out this is a great place.",great
#NAME?,company
"Collaborative culture, benefits, client exposure",
Great for exposure to modern tech stacks,
"Cultura da empresa, visão de longo prazo, diversidade. Não tem politicagem",
Great company to work for. Outstanding benefits and flexibility.,"benefits, work, company"
"Great benefits, great pay, ability to provide feedback on managers",great
"Learn a lot, very structured, great benefits and workspace","great, benefits"
+ great work life balance + company/managers take good care of you + hard-to-get-fired environment + lots to learn as a fresher straight out of college; but run after a couple years! + great training programs and resources,"environment, work, great, balance"
"Great company to work for. Good pay, great benefit, good reputation.","great, work, company"
Learn a lot if interested to do so,
"Colleagues, atmosphere, team, work load",work
"Good perks, health care, dental care, subsidised gym membership, good salary and yearly reviews.","health, salary"
Free soup; competitive benefits; cool offices,
"Bloomberg is good for flexible working, staff welfare and general practices.",flexible
"Flexible program, breakfast, pantry snacks.",
Easier for junior sales to get early career exposure.,
"many perks, good working environment","environment, working"
"Great culture, quality of life",
I had some wonderful colleagues who deserved much better treatment than they received at Bloomberg.,
Great benefits and open culture,"benefits, culture"
"Viagens, benefícios, clima, cultura de diversidade",
Ability to do your own research and drive product,
Ótimos benefícios empresa proporciona muito conforto aos funcionários,
"good fundamental knowledge in fixed income, more than most other places",
Nice philanthropy opportunities in the company. Most of the profits are given for charity and great Kuddos for that!,great
Great training and development opportunities of work hard,work
"I was in a very good technical team Really nice place Relaxing atmosphere, did not feel the pressure A lot of intern events, but there are not many mandatory ones There is food on the events","food, place, pressure"
"I was in a very good technical team Really nice place Relaxing atmosphere, did not feel the pressure A lot of intern events, but there are not many mandatory ones There is food on the events","food, place, pressure"
Great place to start your career,place
Good corporate culture Lots to learn,culture
Great training class and lovely working environment,"environment, working"
"Work-life balance, Perks, colleagues, environment",environment
Great people to work with,"work, people"
Learning experience in FIX protocol,
"good benefits, stability, friendly culture","culture, friendly"
#NAME?,"snacks, free"
"Good benefits, good opportunities to move within company",company
") Incredibly easy job - you can actually do it when you are and have no degree or financial knowledge, it is not required ) No stress - you do not create value, hence your job is stressless as you do not do much ) Good work - life balance. You have no incentive and no reason to stay after pm ) Summer party - it is very good",work
Camaraderie - you will meet some lifelong friends Opportunities to move to different areas of the business,
The best company I worked for,company
The quiet editors deemed unfashionable whose ability to take copy that is akin to scribble and turn it into something legible are the unsung heroes of that place. Sadly the scribblers tend to be promoted.,
"I think Bloomberg is an amazing company, i worked years in another country and moved to the US and been working for Bloomberg for , the benefits and the work life balance is good and its a very organized company.","balance, benefits, work, working"
"Some great people, typically the ones that don't hang around too long",great
"Pay is decent, I wish I could say more.",
"Great benefits, everyone is super nice, and if you are proactive you can succeed",
#NAME?,"balance, work, pay"
You will get the best opportunity to rub shoulders with one of the best and great minds working in Finance industry,"great, working"
"Meet some really genuine people, pantry. Pay is decent enough with no real incentive to go extra mile. Performance review process can be doctored with zero transparecny in the process. Constant over internal emphasis on a culture that is preached but hardly practised which demoralises and fosters detachment.",culture
Hard-working colleagues from diverse backgrounds,
"Great introductory role into financial markets, great people with in depth knowledge teaching new joiners.","great, people"
"great company, well paid job. lots of perks",great
Dynamic The people Fast paced Perks,"people, paced"
Great benefits. Stocked up kitchen. Beautiful office space. Give lots of awards and title changes. Good resume builder. Also good as one of your first jobs out of college,
Used to have free lunch . Not anymore. Cannot think of anything else.,free
"Great benefits, Great pay, Great company",company
"Good software practises, large diversity of teams and products, great perks for a financial company.",great
A lot of young people,people
"Good team, fun environment to work for","environment, work"
Free meals; quality people; work flexibility,work
"Good health insurance, free entry to different art/culture exhibitions","free, health"
"Great benefits, access to learning platforms, the opportunity to progress in the company( not guaranteed), international team, free food, young and intelligent people, very friendly department!","free, friendly"
"Plain company structure, food and events, interesting projects, many opportunities to learn and grow","food, company"
Offers a lot of opportunity to develop yourself and your career,
The benefits are good and the London office is spectacular. Philanthropic efforts are great too with a lot of opportunity to get involved with charity work. They'll match your donations too and there's opportunity for free event tickets.,"free, benefits, great"
"Great culture, benefits, people, philanthropic opportunities, intern to full time pipeline",
office decor and opportunities in the firm,
Great learning opportunities and career growth pantry training,
"kitchen, location, access to Bloomberg",
"interesting technologies to learn and work with, smart people, large company with a small company feeling.","smart, work, company"
"Benefits, Salary, Employment Stability, Good Travel Policy",
"when you leave the office, there is little expectation of doing work",work
"Good benefits overall : Pension, Health, Life, Dental..",benefits
"Great salary, excellent company benefits & office with a view","benefits, company"
Management is flat and friendly environment,"environment, friendly"
"Very dynamic environment, lots of windows, great team, lots of volunteering opportunities.",great
"Good Benefits, nice culture energetic",culture
Great benefits and office environment,"environment, benefits"
"Company values, benefits, pay were good.",pay
Vale transporte Horario de almoco mais flexível,
"Great exposure to the company, shadow many departments, great place to start and know where you want to go.","great, place"
American culture and friendly environment. Great people. There are many projects that make the work more interesting.,"work, culture, friendly"
Mike Bloomberg is a visionary Top notch benefits and paid time off Exceptional focus on philanthropy if you want to participate Incredible headquarters building A truly disruptive technology that changed the way information is disseminated in the financial markets Team environment If you are selling at Bloomberg you will never have to work a weekend,"environment, benefits, work"
"culture, diveristy, work environement, challenging",work
) Salary slightly above market rate. ) Most managers are reasonably good and fair. ) Global exposure. ) Work/life balance.,
"Good training, company perks",company
"Friendly and transparent working environment. Free snacks, fruits and drinks in pantries. Great benefits (K, Health/Dental/Vision insurance and so on) Flexibility in working hours.","insurance, benefits, working"
"Offices, locations and free snacks","snacks, free"
"Offices, locations and free snacks","snacks, free"
"Free canteen, reasonable hours, decent modern office",
Good exposure for all kinds of clients,
"Coffee, Yoga, Drinks, Flexible Work Clothes, Great Culture",
Dedicated people. Good work life balance.,work
"It's a well known brand with some really amazing products compared to its competitors, it's well respected in the industry so the sales job is a bit easier compared to others.",
Likely best company in financial services in terms of benefits,"benefits, company"
Invest heavily to train fresh graduates. They tend to promote young people.,
"Pantry, great office supplies; high skilled professionals in almost every field.",great
great benefits fun people in some departments stability,"great, benefits, people"
"good pay, good people, nice office",
My department is incredible. Everyone is cooperative and truly cares about each other and our clients. It also really incentivizes you to grow within the company and explore new projects.,company
Great Company with a great mission. Good compensation with leading benefits,"great, benefits, compensation"
"They have good work/life balance, and good benefits",benefits
#NAME?,snacks
#NAME?,environment
Lots of perks and pays competitively,
* Great Health Care * Free Snacks * Intelligent/Driven Co-Workers,
Loved company culture and diverse group of employees. Great place to work and learn a lot not only about your department but about other departments as well. I learned a lot of valuable skills.,"work, place, culture, company"
Good work environment and nice colleagues,"environment, work"
Good work environment and nice colleagues,"environment, work"
Challenging and get things done culture,culture
Fun atmosphere great discounts awesome pay (if you work hard enough for commission),"great, work, pay"
"Brand name, nice office, good compensation",compensation
"The people, culture, benefits, work hours, access to training, and more. The product we sell and the clients we serve covers a wide array of the financial sector and financial products, with solutions as specific to analyzing very complicated securities all the way to front-to-middle-to-back enterprise offerings. Working with those tools and the clients who use them provides access and insights to the markets inner... workings that would be hard to find anywhere else.",work
"Decent work environment, good benefits.",work
"Bloomberg is an amazing company with a very strong culture. The company is an especially good place to start when early in your career, as it carries strong name brand recognition and offers regular training, in addition to great benefits.","great, place, company"
Work life balance Decent pay Easy work,"balance, work, pay"
"Great culture, flexible and fun",flexible
"Good working environment, facilities and compensation","compensation, working"
Good culture and good employees benefits,"benefits, culture"
Beautiful building and great colleagues,great
Bloomberg is a major global provider of financial news and information,
"- Been here over years, always have been encouraged a healthy WLB. - the work has always been interesting - Food is great (NJ office). - Internal mobility is encouraged. - philanthropy is highly encouraged and it feels good to work for a place","great, work, place"
Cutting-edge company on the forefront of fintech,company
Good training and development,
"The benefits are some of the best you'll find in the business: No healthcare premium, great (K) match.","great, benefits"
"At the forefront of financial information, data and analytics.",
"Secured job, ok compensation",compensation
You can be part of a company that has a significant impact on the financial world.,company
#NAME?,"benefits, work, culture"
"Because of the initiatives Mike Bloomberg leads on climate, philanthropy etc. I feel proud to work here in a way I haven't at previous employers. Good benefits (esp health care), managers treat people well, high standards, smart colleagues.","benefits, people, work, smart, health"
Eagerness to let people experiment with ideas that will bring personal career growth and company growth.,"company, people"
Great benefits and work life balance.,"benefits, work"
"Great benefits - k matching, great health insurance Free access to almost all museums in NYC Lots of opportunity for advancement Great work life balance","benefits, insurance, work, health, great, balance"
#NAME?,
"Open culture, flexible, plenty of internal opportunity movement",
Great insurance coverage with benefits extended to one and all in the company. Pantry is second to none. Embrace diversity to the max!!,"insurance, benefits"
"ridiculous benefits, stunning office spaces, great culture","great, culture"
"Great people, great perks, great job right out of college",great
nice environment and nice staff,environment
"Great work life balance, focus on philanthropy, great team and coworkers, dynamic culture, fast-paced working environment, excellent benefits, high early career compensation growth.","great, work, compensation, working"
The office has a nice view of the water and Micheal Bloomberg is a great guy,great
Lots of training Good comps Great product Great global leaders,
A really great working culture,"great, culture, working"
"- Strong focus on positive and nurturing culture . - Great benefits , one of the best health insurance in the city - Good work life balance - Focus on continuous learning through many in-house training programs","benefits, insurance, work, health, culture, balance"
Great benefits Slightly higher than average salary Free snacks/dinner or lunch Good working environment,"environment, benefits, salary, working"
"Great Wellness, Health and Professional Support",
"Best Culture, No Stress, Amazing Team, Free food",food
good culture really helpful colleagues,culture
"Culture is very welcoming. Lots of opportunities to give back, lots of internal issue groups to join, flexible schedules available.",flexible
"Great perks, culture and a lot of learning opportunities within the firm, pay well and you get a lot of exposure to different financial products and roles.","culture, pay"
"Snacks, smart people, travel and good salary","smart, salary"
"Great benefits and culture, my team also allows for great work life balance","great, benefits, work, balance"
"* Outstanding company to work for in terms of aptitude of people, healthy office culture, investment in product development and quality of product, relentless high touch focus on the customer. All the benefits you might expect from a global FinServ firm. k match, quality healthcare benefits, generous vacation time, in-office perks etc. * Generous base salary especially through career progression and... out-performance. Sales bonus compensation is not directly tied to target/quota achievement making for a much more consultative, relationship based and less aggressive sales environment for clients. Qualitative / culture based metrics ensure high performance is not only based on quota, territory etc. * Move towards more of a dollar quota culture in recent years is positive. Especially for Bloomberg terminal core sales staff this presents an opportunity to become a true enterprise account executive, versus traditionally selling units / terminals. This in turn becomes a more transferable experience. The high calibre sales people at Bloomberg I know of have embraced this change. * Exceptional sales support network for post sales client support from the Analytics department and wider product/support groups. This takes admin-weight off sales significantly and has improved massively over the last years. * Whilst a healthy pressure exists to hit quota, Bloomberg sales is not a cut-throat sales environment like e.g. Salesforce. This promotes a much healthier, collaborative working environment where sales are not stepping on each other. There is monetary recognition of collaboration and other BBg culture metrics. * Strong culture of internal promotion especially into leadership positions -most of which are filled through home-grown talent. For me personally this was recognized through generous compensation at each stage. Still a concerning lack of female talent promoted to sales management, despite recent efforts to change this.","benefits, people, compensation, work, salary, culture, working, pressure, environment, company"
"Ethos, Benefits, Flexibile Working, Colleagues",
"Prime office location, very nice office. Plenty of free snacks / breakfast / lunch and many activities.","snacks, free"
"Great workplace, positive people. Great work-life balance.",
Great culture and open opportunity. People are so hardworking and willing to help. Managers are very positive to your future plans.,culture
Flat communications. No bossy employee that I found in the office. Everyone was very friendly even in different dep people,"people, friendly"
"Viagens internacionais pagam para qualquer funcionário em business class. Hotel cinco estrelas, cartão de crédito para despesas, kitchen para café da manhã e petisco, excelente edificio estrutura excepcional",
Great benefits and people and amazing place to work if you are good at networking,"benefits, work, place, people"
Good company and offer good salary,"salary, company"
"Lots of opportunities for projects, great compensation package, lots of perks in the office","great, compensation"
"good office environment, techonology driven,young teams",
